ID,Title,Description,PageCount,Excerpt,PublishDate,,,,,,,,,
1,the alchemist,some desc. 1,200,some excerpt 1,4/15/21,,,,,,,,,
2,algorithms to live by,some desc. 2,300,some excerpt 2,4/15/21,,,,,,,,,
3,the power of habit,some desc. 3,400,some excerpt 3,4/15/21,,,,,,,,,
4,the design of everyday things,some desc. 4,500,some excerpt 4,4/15/21,,,,,,,,,
5,why we sleep,some desc. 5,600,some excerpt 5,4/15/21,,,,,,,,,
6,sapiens,some desc. 6,700,some excerpt 6,4/15/21,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,ID,IDBook,FirstName,LastName
,,,,,,,,,,,the alchemist,Paulo Coelho,,
,,,,,,,,,,,algorithms to live by,Brian Christian,,
,,,,,,,,,,,the power of habit,Charles Duhigg,,
,,,,,,,,,,,the design of everyday things,Don Norman,,
,,,,,,,,,,,why we sleep,Matthew Walker,,
,,,,,,,,,,,sapiens,Yuval Noah Harari,,
